00:32.492  render           | Fra: 27 | Rendering 1 / 64 samples
00:32.938  render           | Fra: 27 | Rendering 25 / 64 samples
00:33.364  render           | Fra: 27 | Rendering 50 / 64 samples
00:33.610  render           | Fra: 27 | Rendering 64 / 64 samples
00:33.890  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0027.png'
00:33.892  render           | Time: 00:01.78 (Saving: 00:00.20)
00:33.893  render           | Rendering frame 28
00:33.918  render           | Start rendering: Scene, ViewLayer
00:33.918  render           | Engine: EEVEE
00:34.673  render           | Fra: 28 | Rendering 1 / 64 samples
00:35.121  render           | Fra: 28 | Rendering 25 / 64 samples
00:35.538  render           | Fra: 28 | Rendering 50 / 64 samples
00:35.772  render           | Fra: 28 | Rendering 64 / 64 samples
00:36.130  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0028.png'
00:36.131  render           | Time: 00:02.21 (Saving: 00:00.26)
00:36.131  render           | Rendering frame 29
00:36.144  render           | Start rendering: Scene, ViewLayer
00:36.144  render           | Engine: EEVEE
00:36.627  render           | Fra: 29 | Rendering 1 / 64 samples
00:37.096  render           | Fra: 29 | Rendering 25 / 64 samples
00:37.528  render           | Fra: 29 | Rendering 50 / 64 samples
00:37.769  render           | Fra: 29 | Rendering 64 / 64 samples
00:38.032  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0029.png'
00:38.033  render           | Time: 00:01.88 (Saving: 00:00.22)
00:38.034  render           | Rendering frame 30
00:38.062  render           | Start rendering: Scene, ViewLayer
00:38.062  render           | Engine: EEVEE
00:38.634  render           | Fra: 30 | Rendering 1 / 64 samples
00:39.081  render           | Fra: 30 | Rendering 25 / 64 samples
00:39.504  render           | Fra: 30 | Rendering 50 / 64 samples
00:39.747  render           | Fra: 30 | Rendering 64 / 64 samples
00:40.039  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0030.png'
00:40.040  render           | Time: 00:01.97 (Saving: 00:00.22)
00:40.041  render           | Rendering frame 31
00:40.056  render           | Start rendering: Scene, ViewLayer
00:40.056  render           | Engine: EEVEE
00:40.291  render           | Fra: 31 | Rendering 1 / 64 samples
00:40.865  render           | Fra: 31 | Rendering 25 / 64 samples
00:41.447  render           | Fra: 31 | Rendering 50 / 64 samples
00:41.767  render           | Fra: 31 | Rendering 64 / 64 samples
00:42.020  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0031.png'
00:42.022  render           | Time: 00:01.96 (Saving: 00:00.19)
00:42.023  render           | Rendering frame 32
00:42.064  render           | Start rendering: Scene, ViewLayer
00:42.064  render           | Engine: EEVEE
00:42.464  render           | Fra: 32 | Rendering 1 / 64 samples
00:42.933  render           | Fra: 32 | Rendering 25 / 64 samples
00:43.421  render           | Fra: 32 | Rendering 50 / 64 samples
00:43.696  render           | Fra: 32 | Rendering 64 / 64 samples
00:43.858  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0032.png'
00:43.858  render           | Time: 00:01.79 (Saving: 00:00.12)
00:43.858  render           | Rendering frame 33
00:43.858  render           | Start rendering: Scene, ViewLayer
00:43.858  render           | Engine: EEVEE
00:44.114  render           | Fra: 33 | Rendering 1 / 64 samples
00:44.615  render           | Fra: 33 | Rendering 25 / 64 samples
00:45.116  render           | Fra: 33 | Rendering 50 / 64 samples
00:45.402  render           | Fra: 33 | Rendering 64 / 64 samples
00:45.715  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0033.png'
00:45.717  render           | Time: 00:01.85 (Saving: 00:00.22)
00:45.719  render           | Rendering frame 34
00:45.738  render           | Start rendering: Scene, ViewLayer
00:45.738  render           | Engine: EEVEE
00:46.607  render           | Fra: 34 | Rendering 1 / 64 samples
00:47.105  render           | Fra: 34 | Rendering 25 / 64 samples
00:47.603  render           | Fra: 34 | Rendering 50 / 64 samples
00:47.887  render           | Fra: 34 | Rendering 64 / 64 samples
00:48.130  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0034.png'
00:48.130  render           | Time: 00:02.39 (Saving: 00:00.17)
00:48.130  render           | Rendering frame 35
00:48.151  render           | Start rendering: Scene, ViewLayer
00:48.151  render           | Engine: EEVEE
00:48.543  render           | Fra: 35 | Rendering 1 / 64 samples
00:48.992  render           | Fra: 35 | Rendering 25 / 64 samples
00:49.436  render           | Fra: 35 | Rendering 50 / 64 samples
00:49.685  render           | Fra: 35 | Rendering 64 / 64 samples
00:49.848  render           | Saved: '/Users/mishi/elite-dent-website/blender/renders/splash_0035.png'
00:49.848  render           | Time: 00:01.69 (Saving: 00:00.12)
